ticker	company	was_in_xbi_jan2020	company_type	drug_name	chembl_id	target_gene	gene_source	indication	ensembl_id	efo_id	n_scoreable_pairs	n_gs_pairs	best_genetic_assoc_score	n_confirmed_pairs	n_confirmed_gs_pairs	best_confirmed_score	lead_phase	lead_score	lead_gene	lead_efo_id	lead_conditions	lead_ot_source	lead_evidence_predates	lead_confirmed_pre_2020	lead_validation_method	best_pair_ga_score	ot_score_source_best	ot_score_sources_all	evidence_predates_2020	genetic_datasources	is_gs	is_gs_at_0_10	is_gs_at_0_50	is_gs_at_0_80	is_gs_at_0_95	mendelian_only_gs	return_total_pct	price_start	price_end	date_start	date_end	return_source	return_estimated	outcome	acquirer	is_oncology_primary	has_combination_rows	pipeline_source
ABBV	AbbVie Inc	True	biotech	Adalimumab	CHEMBL1201580	TNF	chembl	Musculoskeletal and Connective Tissue Diseases | Rheumatoid Arthritis	ENSG00000232810	EFO_0000685	92	91	1.0	44	43	1.0	PHASE4	1.0	TNF	EFO_0000685	Musculoskeletal and Connective Tissue Diseases | Rheumatoid Arthritis	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_recent_fallback,ot_2020	uncertain	uniprot_literature,ot_genetics_portal	True	True	True	True	True	True	224.56	69.2662	224.81	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
ACAD	ACADIA Pharmaceuticals Inc	True	biotech	Pimavanserin	CHEMBL2111101	HTR2A	chembl	Parkinson's Disease	ENSG00000102468	MONDO_0005180	4	4	0.958146	2	2	0.919259	PHASE3	0.919259	HTR2A	MONDO_0004975	Dementia-related Psychosis	ot_recent_fallback	True	True	bq_ancestor	0.958146	ot_recent_fallback	ot_recent_fallback	uncertain	uniprot_variants,genomics_england,eva,uniprot_literature,gene_burden	True	True	True	True	False	True	-41.64	41.11	23.99	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
ACHN	Achillion Pharmaceuticals Inc	True	biotech	Danicopan	CHEMBL4250860	CFD	chembl	C3 Glomerulonephritis | C3 Glomerulopathy | Dense Deposit Disease | Immune Complex Mediated Membranoproliferative Glomer	ENSG00000197766	MONDO_0013892	1	1	0.886059	0	0	0.0	PHASE2	0.886059	CFD	MONDO_0013892	C3 Glomerulonephritis | C3 Glomerulopathy | Dense Deposit Disease | Immune Complex Mediated Membranoproliferative Glomer	ot_recent_fallback	True	False		0.886059	ot_recent_fallback	ot_recent_fallback	True	genomics_england,orphanet,eva	False	False	False	False	False	False	1.7			2020-01-02		manual_research	True	acquired	Johnson & Johnson ($14.04/sh, Jan 2020)	False	True	ctgov
ADVM	Adverum Biotechnologies Inc	True	biotech	ADVM-022			missing	Neovascular Age-related Macular Degeneration | Wet Age-related Macular Degeneration		EFO_0004683	0	0		0	0									False							False	False	False	False	False	False	-100.0			2020-01-02		manual_research	True	bankrupt		False	False	ctgov
AGEN	Agenus Inc	True	biotech	AG-707			missing	Genital Herpes			0	0		0	0									False							False	False	False	False	False	False	-96.14	79.2934	3.06	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
AGIO	Agios Pharmaceuticals Inc	True	biotech	AG-348	CHEMBL4523073	PKLR	chembl	Anemia, Hemolytic | Pyruvate Kinase Deficiency	ENSG00000143627	MONDO_0002280	3	3	1.0	2	2	1.0	PHASE3	1.0	PKLR	MONDO_0002280	Anemia, Hemolytic | Pyruvate Kinase Deficiency	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_recent_fallback,ot_2020	uncertain	uniprot_literature,genomics_england,eva,uniprot	True	True	True	True	True	True	-38.45	47.52	29.25	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
AIMT	Aimmune Therapeutics Inc	True	biotech	AR101 - Peanut protein capsule			missing	Peanut Allergy		EFO_0007425	0	0		0	0									False							False	False	False	False	False	False	40.8			2020-01-02		manual_research	True	acquired	Nestlé Health Science ($34.50/sh, Sep 2020)	False	True	ctgov
AKBA	Akebia Therapeutics Inc	True	biotech	Darbepoetin alfa	CHEMBL1201566	EPOR	chembl	Anemia | Non-Dialysis-Dependent Chronic Kidney Disease	ENSG00000187266	MONDO_0002280	4	4	0.958243	2	2	0.958243	PHASE3	0.958243	EPOR	MONDO_0002280	Anemia | Non-Dialysis-Dependent Chronic Kidney Disease	ot_recent_fallback	uncertain	True	mendelian_ancestor	0.958243	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden,eva,genomics_england	True	True	True	True	True	False	-81.39	6.34	1.18	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
AKCA	Akcea Therapeutics Inc	True	biotech	ISIS 681257	CHEMBL1464	APOC3	chembl	Cardiovascular Disease | Elevated Lipoprotein(a)	ENSG00000110245	EFO_0000319	2	2	0.25732	1	1	0.25732	PHASE1	0.25732	VKORC1	EFO_0000319	Cardiovascular Diseases | Elevated Lipoprotein(a)	ot_recent_fallback	uncertain	True	bq_direct	0.25732	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden	True	True	False	False	False	False	-1.9			2020-01-02		manual_research	True	acquired	Ionis Pharmaceuticals ($18.15/sh, Oct 2020)	False	True	ctgov
ALEC	Alector Inc	True	biotech	AL001			missing	Frontotemporal Dementia | Healthy		EFO_0000401	0	0		0	0									False							False	False	False	False	False	False	-87.99	16.575	1.99	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
ALKS	Alkermes PLC	True	biotech	Aripiprazole Lauroxil	CHEMBL715	DRD2	chembl	Schizophrenia	ENSG00000149295	MONDO_0005090	2	2	0.919068	1	1	0.919068	PHASE4	0.919068	DRD2	MONDO_0005090	Schizophrenia	ot_recent_fallback	uncertain	True	bq_direct	0.919068	ot_recent_fallback	ot_recent_fallback	uncertain	uniprot_variants,eva,uniprot_literature,gene_burden,genomics_england	True	True	True	True	False	False	61.49	19.76	31.91	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
ALLK	Allakos Inc	True	biotech	AK002		SIGLEC8	chembl	Atopy	ENSG00000105366	EFO_0009424	0	0		0	0									False							False	False	False	False	False	False	-100.0			2020-01-02		manual_research	True	bankrupt		False	True	ctgov
ALLO	Allogene Therapeutics Inc	True	biotech	ALLO-647			missing	Relapsed/Refractory Follicular Lymphoma | Relapsed/Refractory Large B Cell Lymphoma		MONDO_0018906	0	0		0	0									False							False	False	False	False	False	False	-92.18	26.22	2.05	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
ALNY	Alnylam Pharmaceuticals Inc	True	biotech	Patisiran	CHEMBL4297536	TTR	chembl	Amyloidosis, Hereditary | Transthyretin Amyloidosis	ENSG00000118271	MONDO_0018634	5	5	1.0	3	3	1.0	PHASE3	1.0	TTR	MONDO_0018634	Amyloidosis, Hereditary | Transthyretin Amyloidosis	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_recent_fallback,ot_2020	uncertain	uniprot_literature,genomics_england,eva,uniprot	True	True	True	True	True	True	190.77	115.62	336.19	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
ALXN	Alexion Pharmaceuticals Inc	True	biotech	Ravulizumab	CHEMBL3989986	C5	chembl	Atypical Hemolytic Uremic Syndrome (aHUS)	ENSG00000106804	MONDO_0016244	2	2	0.912865	2	2	0.912865	PHASE3	0.912865	C5	MONDO_0016244	Atypical Hemolytic Uremic Syndrome (aHUS)	ot_recent_fallback	True	True	bq_ancestor	0.912865	ot_recent_fallback	ot_recent_fallback	True	genomics_england,eva	True	True	True	True	False	True	61.4			2020-01-02		manual_research	True	acquired	AstraZeneca ($39B, Dec 2020)	False	True	ctgov,monogenic_causal
AMAG	AMAG Pharmaceuticals Inc	True	biotech	Blood drawn from indwelling catheters versus direct venipuncture			missing	Healthy			0	0		0	0									False							False	False	False	False	False	False	-16.7			2020-01-02		manual_research	True	acquired	Covis Pharma ($13.75/sh, Oct 2020)	False	True	ctgov
AMGN	Amgen Inc	True	biotech	Etanercept	CHEMBL1201572	TNF	chembl	Psoriatic Arthritis	ENSG00000232810	EFO_0003778	46	46	1.0	22	22	1.0	PHASE4	0.958243	EPOR	MONDO_0002280	Anemia	ot_recent_fallback	uncertain	True	mendelian_ancestor	1.0	ot_2020	ot_recent_fallback,ot_2020	uncertain	uniprot_literature,ot_genetics_portal	True	True	True	True	True	False	89.04	198.2338	374.75	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
ANAB	AnaptysBio Inc	True	biotech	Etokimab		IL33	chembl	Chronic Rhinosinusitis	ENSG00000137033	MONDO_0004979	3	3	0.977473	3	3	0.977473	PHASE2	0.977473	IL33	MONDO_0004979	Chronic Rhinosinusitis	ot_recent_fallback	uncertain	True	bq_direct	0.977473	ot_recent_fallback	ot_2020,ot_recent_fallback	uncertain	gene_burden,uniprot_literature,eva	True	True	True	True	True	False	241.03	15.89	54.19	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
ANIK	Anika Therapeutics Inc	True	biotech	Cingal			missing	Osteoarthritis of the Knee		EFO_0004616	0	0		0	0									False							False	False	False	False	False	False	-79.71	52.4	10.63	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
APLS	Apellis Pharmaceuticals Inc	True	biotech	APL-2	CHEMBL4298211	C3	chembl	Cold Agglutinin Disease | Warm Autoimmune Hemolytic Anemia	ENSG00000125730	MONDO_0002280	4	4	1.0	4	4	1.0	PHASE3	0.952778	C3	EFO_1001492	Geographic Atrophy	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_2020,ot_recent_fallback	True	uniprot_literature,genomics_england,eva,uniprot	True	True	True	True	True	True	-28.51	31.165	22.28	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
ARNA	Arena Pharmaceuticals Inc	True	biotech	Etrasimod	CHEMBL3358920	S1PR4	chembl	Ulcerative Colitis	ENSG00000125910	EFO_0000729	5	5	0.898218	2	2	0.680556	PHASE3	0.680556	S1PR5	EFO_0000729	Ulcerative Colitis	ot_2020	True	True	tier1_ot2020	0.898218	ot_recent_fallback	ot_recent_fallback,ot_2020	uncertain	genomics_england	True	True	True	False	False	True	92.4			2020-01-02		manual_research	True	acquired	Pfizer ($6.7B, Mar 2022)	False	True	ctgov
ARQL	ArQule Inc	True	biotech	Fulvestrant	CHEMBL1146	ESR1	chembl	Cancer | Solid Tumors	ENSG00000091831	MONDO_0004992	2	2	0.978601	2	2	0.978601	PHASE2	0.865457	MET	EFO_0000178	Gastric Cancer	ot_recent_fallback	True	True	bq_ancestor	0.978601	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden,gene2phenotype,eva	True	True	True	True	False	True	0.5			2020-01-02		manual_research	True	acquired	Merck ($20/sh, Jan 2020)	True	True	ctgov
ARWR	Arrowhead Pharmaceuticals Inc	True	biotech	acetaminophen	CHEMBL112	PTGS1	chembl	Healthy	ENSG00000095303	EFO_0004197	0	0		0	0									False							False	False	False	False	False	False	0.74	63.12	63.59	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
ATNX	Athenex Inc	True	biotech	HM30181 methanesulfonate monohydrate plus oral paclitaxel capsules			missing	Solid Tumor		EFO_1000542	0	0		0	0									False							False	False	False	False	False	False	-99.0			2020-01-02		manual_research	True	bankrupt		True	True	ctgov
ATRA	Atara Biotherapeutics Inc	True	biotech	WT1-sensitized T cells			missing	Leukemia | Myelodysplastic Syndrome		EFO_0000565	0	0		0	0									False							False	False	False	False	False	False	-98.98	410.25	4.18	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
AVRO	Avrobio Inc	True	biotech	AVR-RD-01			missing	Fabry Disease		MONDO_0010526	0	0		0	0									False							False	False	False	False	False	False	-90.0			2020-01-02		manual_research	True	bankrupt		False	False	ctgov
BBIO	Bridgebio Pharma Inc	True	biotech	acoramidis		TTR	monogenic_causal	Amyloid Cardiomyopathy | Amyloidosis | Cardiomyopathies | Heart Diseases | Transthyretin Amyloidosis	ENSG00000118271	MONDO_0018634	1	1	1.0	1	1	1.0	PHASE3	1.0	TTR	MONDO_0018634	Amyloid Cardiomyopathy | Amyloidosis | Cardiomyopathies | Heart Diseases | Transthyretin Amyloidosis	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_2020	True	uniprot_literature,genomics_england,eva,uniprot	True	True	True	True	True	True	105.12	33.22	68.14	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
BCRX	BioCryst Pharmaceuticals Inc	True	biotech	BCX7353	CHEMBL5189739	KLKB1	chembl	HAE | Hereditary Angioedema | Prophylaxis	ENSG00000164344	MONDO_0019623	3	3	0.904716	2	2	0.888136	PHASE1	0.888136	HMGCR	MONDO_0019623	Hereditary Angioedema	ot_recent_fallback	uncertain	True	bq_direct	0.904716	ot_recent_fallback	ot_recent_fallback	uncertain	eva,genomics_england,uniprot_variants,uniprot_literature	True	True	True	True	False	False	119.12	3.4	7.45	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
BHVN	Biohaven Pharmaceutical Holding Co Ltd	True	biotech	BHV-0223			missing	ALS | Amyotrophic Lateral Sclerosis | Lou Gehrig Disease | Lou Gehrig's Disease | Lou-Gehrigs Disease | Motor Neuron Dis		EFO_0000562	0	0		0	0									False							False	False	False	False	False	False	230.0			2020-01-02		manual_research	True	acquired	Pfizer ($148.50/sh + BHVN spinoff, Oct 2022)	False	True	ctgov
BIIB	Biogen Inc	True	biotech	Nusinersen	CHEMBL3833342	SMN2	chembl	Muscular Atrophy, Spinal	ENSG00000205571	EFO_0008525	10	10	1.0	7	7	1.0	PHASE4	0.788995	KEAP1	MONDO_0005301	Multiple Sclerosis | Relapsing-Remitting Multiple Sclerosis	ot_recent_fallback	uncertain	True	bq_direct	1.0	ot_2020	ot_recent_fallback,ot_2020	uncertain	uniprot_literature,eva,uniprot	True	True	True	False	False	False	-34.74	294.24	192.03	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
BMRN	BioMarin Pharmaceutical Inc	True	biotech	Valoctocogene Roxaparvovec	CHEMBL4075989	F9	chembl	Hemophilia A	ENSG00000101981	MONDO_0010602	5	5	0.998272	4	4	0.998272	PHASE3	0.998272	F9	MONDO_0010602	Hemophilia A	ot_recent_fallback	uncertain	True	mendelian_ancestor	0.998272	ot_recent_fallback	ot_recent_fallback	uncertain	uniprot_variants,eva,gene_burden,genomics_england,uniprot_literature	True	True	True	True	True	False	-23.75	84.04	64.08	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
BPMC	Blueprint Medicines Corp	True	biotech	avapritinib	CHEMBL4204794	KIT	chembl	GIST	ENSG00000157404	MONDO_0011719	16	16	0.961687	2	2	0.961687	PHASE3	0.961687	KIT	MONDO_0011719	GIST	ot_recent_fallback	uncertain	True	bq_direct	0.961687	ot_recent_fallback	ot_recent_fallback	uncertain	genomics_england,eva,uniprot_variants,orphanet,uniprot_literature,gene2phenotype	True	True	True	True	True	False	260.0			2020-01-02		manual_research	True	acquired	Sanofi ($216/sh, Oct 2023)	False	True	ctgov
CHRS	Coherus Biosciences Inc	True	biotech	Adalimumab	CHEMBL1201580	TNF	chembl	Plaque Psoriasis	ENSG00000232810	EFO_1001494	1	1	0.5	1	1	0.5	PHASE3	0.5	TNF	EFO_1001494	Plaque Psoriasis	ot_2020	True	True	tier1_ot2020	0.5	ot_2020	ot_2020	True	ot_genetics_portal	True	True	False	False	False	True	-91.1	18.32	1.63	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
CLVS	Clovis Oncology Inc	True	biotech	Rociletinib	CHEMBL3544883	EGFR	chembl	Non-small Cell Lung Cancer	ENSG00000146648	EFO_0003060	3	3	1.0	3	3	1.0	PHASE3	1.0	EGFR	EFO_0003060	Non-small Cell Lung Cancer	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_2020,ot_recent_fallback	True	uniprot_literature,eva	True	True	True	True	True	True	-100.0			2020-01-02		manual_research	True	bankrupt		True	True	ctgov
CPRX	Catalyst Pharmaceuticals Inc	True	biotech	Amifampridine Phosphate	CHEMBL395613	PDE4B	chembl	Muscular Atrophy, Spinal	ENSG00000184588	EFO_0008525	1	1	0.607931	1	1	0.607931	PHASE2	0.607931	PDE4B	EFO_0008525	Muscular Atrophy, Spinal	ot_recent_fallback	True	True	bq_ancestor	0.607931	ot_recent_fallback	ot_recent_fallback	True	genomics_england,eva	True	True	True	False	False	True	544.56	3.77	24.3	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
CYTK	Cytokinetics Inc	True	biotech	Omecamtiv Mecarbil	CHEMBL1800955	MYH7	chembl	Heart Failure With Reduced Ejection Fraction	ENSG00000092054	EFO_0003144	1	1	0.986	1	1	0.986	PHASE3	0.986	MYH7	EFO_0003144	Heart Failure With Reduced Ejection Fraction	ot_recent_fallback	uncertain	True	mendelian_ancestor	0.986	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden,eva	True	True	True	True	True	False	543.98	10.55	67.94	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
DCPH	Deciphera Pharmaceuticals Inc	True	biotech	Rebastinib	CHEMBL2094141	ABL1	chembl	Breast Adenocarcinoma | Breast Cancer | Human Epidermal Growth Factor 2 Negative Carcinoma of Breast | Recurrent Breast 	ENSG00000097007	EFO_0000305	14	14	0.981276	3	3	0.961687	PHASE3	0.961687	KIT	MONDO_0011719	Gastrointestinal Stromal Tumors	ot_recent_fallback	uncertain	True	bq_direct	0.981276	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden,genomics_england,eva	True	True	True	True	True	False	-3.4			2020-01-02		manual_research	True	acquired	ONO Pharmaceutical ($25.60/sh, Jun 2024)	True	True	ctgov
